"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Fri Jul 28 2023 15:15:00 GMT+0530 (India Standard Time)","19650.95","19656.25","19634.00","19638.00","19614.27","19617.70","19690.19","19645.75","19603.85","19561.95","19638.00"
"Mon Jul 31 2023 09:15:00 GMT+0530 (India Standard Time)","19666.35","19676.05","19599.35","19632.10","19616.82","19619.07","19689.04","19646.07","19603.94","19561.81","19632.10"
"Mon Jul 31 2023 09:30:00 GMT+0530 (India Standard Time)","19632.30","19656.80","19620.25","19644.30","19620.75","19621.48","19688.15","19650.80","19605.37","19559.93","19644.30"
"Mon Jul 31 2023 09:45:00 GMT+0530 (India Standard Time)","19644.05","19662.30","19639.95","19657.05","19625.93","19624.86","19687.53","19658.52","19607.79","19557.07","19657.05"
"Mon Jul 31 2023 10:00:00 GMT+0530 (India Standard Time)","19657.75","19674.45","19657.05","19672.95","19632.65","19629.44","19687.25","19669.20","19611.07","19552.94","19672.95"
"Mon Jul 31 2023 10:15:00 GMT+0530 (India Standard Time)","19673.15","19677.55","19663.95","19676.35","19638.89","19633.91","19687.03","19678.96","19615.66","19552.36","19676.35"
"Mon Jul 31 2023 10:30:00 GMT+0530 (India Standard Time)","19676.55","19691.85","19660.00","19684.90","19645.46","19638.77","19686.99","19689.50","19619.94","19550.38","19684.90"
"Mon Jul 31 2023 10:45:00 GMT+0530 (India Standard Time)","19685.05","19693.75","19678.80","19691.25","19652.01","19643.77","19687.07","19699.07","19625.50","19551.93","19691.25"
"Mon Jul 31 2023 11:00:00 GMT+0530 (India Standard Time)","19691.55","19699.15","19690.25","19693.50","19657.93","19648.50","19687.20","19707.67","19630.93","19554.19","19693.50"
"Mon Jul 31 2023 11:15:00 GMT+0530 (India Standard Time)","19692.95","19716.00","19686.15","19715.30","19666.13","19654.86","19687.76","19720.45","19636.45","19552.46","19715.30"
"Mon Jul 31 2023 11:30:00 GMT+0530 (India Standard Time)","19715.75","19719.70","19700.75","19709.70","19672.35","19660.09","19688.19","19729.18","19642.55","19555.93","19709.70"
"Mon Jul 31 2023 11:45:00 GMT+0530 (India Standard Time)","19710.40","19713.70","19688.05","19698.75","19676.12","19663.77","19688.40","19735.48","19647.10","19558.73","19698.75"
"Mon Jul 31 2023 12:00:00 GMT+0530 (India Standard Time)","19698.65","19710.25","19691.05","19707.60","19680.62","19667.94","19688.78","19741.11","19652.94","19564.77","19707.60"
"Mon Jul 31 2023 12:15:00 GMT+0530 (India Standard Time)","19708.10","19711.45","19685.65","19687.75","19681.64","19669.83","19688.76","19738.68","19659.05","19579.41",""
"Mon Jul 31 2023 12:30:00 GMT+0530 (India Standard Time)","19687.20","19691.90","19676.95","19683.65","19681.93","19671.15","19688.66","19737.06","19663.83","19590.60","19683.65"
"Mon Jul 31 2023 12:45:00 GMT+0530 (India Standard Time)","19684.30","19703.55","19674.25","19698.35","19684.27","19673.74","19688.85","19736.80","19668.88","19600.97","19698.35"
"Mon Jul 31 2023 13:00:00 GMT+0530 (India Standard Time)","19697.90","19701.75","19685.15","19700.55","19686.60","19676.29","19689.08","19738.07","19672.99","19607.92","19700.55"
"Mon Jul 31 2023 13:15:00 GMT+0530 (India Standard Time)","19700.30","19710.35","19696.85","19708.80","19689.77","19679.39","19689.47","19733.41","19678.94","19624.47","19708.80"
"Mon Jul 31 2023 13:30:00 GMT+0530 (India Standard Time)","19708.50","19719.65","19707.70","19712.80","19693.06","19682.57","19689.93","19733.89","19683.28","19632.66","19712.80"
"Mon Jul 31 2023 13:45:00 GMT+0530 (India Standard Time)","19712.50","19719.20","19697.50","19702.85","19694.46","19684.50","19690.19","19734.97","19685.82","19636.68","19702.85"
"Mon Jul 31 2023 14:00:00 GMT+0530 (India Standard Time)","19703.30","19726.90","19699.90","19703.60","19695.76","19686.32","19690.46","19733.58","19689.10","19644.63","19703.60"
"Mon Jul 31 2023 14:15:00 GMT+0530 (India Standard Time)","19703.80","19722.75","19703.80","19715.90","19698.64","19689.14","19690.96","19730.74","19693.29","19655.85","19715.90"
"Mon Jul 31 2023 14:30:00 GMT+0530 (India Standard Time)","19716.40","19728.00","19712.50","19724.00","19702.26","19692.46","19691.61","19729.63","19697.28","19664.93","19724.00"
"Mon Jul 31 2023 14:45:00 GMT+0530 (India Standard Time)","19724.40","19725.10","19703.25","19720.70","19704.90","19695.15","19692.19","19728.61","19700.46","19672.32","19720.70"
"Mon Jul 31 2023 15:00:00 GMT+0530 (India Standard Time)","19720.65","19767.25","19720.65","19760.00","19712.77","19701.32","19693.53","19740.51","19704.81","19669.12","19760.00"
"Mon Jul 31 2023 15:15:00 GMT+0530 (India Standard Time)","19759.75","19772.25","19737.50","19742.50","19717.02","19705.24","19694.50","19744.90","19708.12","19671.35",""
"Tue Aug 01 2023 09:15:00 GMT+0530 (India Standard Time)","19784.00","19793.70","19750.90","19769.50","19724.51","19711.36","19695.99","19756.24","19712.35","19668.46","19769.50"
"Tue Aug 01 2023 09:30:00 GMT+0530 (India Standard Time)","19769.65","19780.65","19755.70","19765.65","19730.39","19716.53","19697.37","19764.55","19716.07","19667.60","19765.65"
"Tue Aug 01 2023 09:45:00 GMT+0530 (India Standard Time)","19765.20","19787.90","19763.35","19778.75","19737.30","19722.46","19698.98","19774.75","19720.33","19665.92","19778.75"
"Tue Aug 01 2023 10:00:00 GMT+0530 (India Standard Time)","19778.50","19789.35","19775.55","19779.55","19743.33","19727.90","19700.57","19783.68","19723.55","19663.41","19779.55"
"Tue Aug 01 2023 10:15:00 GMT+0530 (India Standard Time)","19780.25","19782.10","19751.15","19754.30","19744.90","19730.41","19701.64","19786.99","19725.78","19664.57",""
